user_id,F1,F2,F3,Class
49152,1,0.00303951367781155,237.0,1
43568,24,0.004166666666666667,201.875,0
35331,2,0.004866180048661801,252.5,1
43284,165,0.0034423407917383822,326.1151515151515,0
35332,3,0.002583979328165375,205.0,1
48432,180,0.011235955056179775,328.22777777777776,0
35344,4,0.004219409282700422,264.75,1
43550,13,0.014598540145985401,182.0,0
43537,5,0.004789272030651341,261.8,1
49746,52,0.026455026455026454,255.57692307692307,0
35349,6,0.01060070671378092,266.5,1
43497,277,0.02727272727272727,301.58483754512633,0
49687,7,0.03056768558951965,275.0,1
49638,274,0.03211009174311927,300.67518248175185,0
49688,8,0.035555555555555556,247.375,1
49232,58,0.15384615384615385,253.91379310344828,0
35354,9,0.0297029702970297,226.33333333333334,1
49235,53,0.013452914798206279,252.52830188679246,0
43547,10,0.02178649237472767,213.8,1
35324,282,0.008382229673093043,299.8581560283688,0
48154,11,0.0514018691588785,200.0909090909091,1
43227,141,0.009615384615384616,314.5390070921986,0
43549,12,0.04428044280442804,190.16666666666666,1
43620,67,0.04195804195804196,256.02985074626866,0
43550,13,0.04744525547445255,182.0,1
35362,14,0.017735334242837655,211.42857142857142,0
35362,14,0.019099590723055934,211.42857142857142,1
43229,140,0.014492753623188406,313.23571428571427,0
35363,15,0.034482758620689655,214.53333333333333,1
49611,262,0.06172839506172839,305.1603053435114,0
43556,16,0.02200825309491059,204.9375,1
49488,199,0.08839779005524862,316.4221105527638,0
43557,17,0.04358974358974359,204.8235294117647,1
48436,183,0.06273062730627306,327.3333333333333,0
43558,18,0.06844106463878327,197.66666666666666,1
48432,180,0.06741573033707865,328.22777777777776,0
47652,19,0.02785923753665689,188.57894736842104,1
35377,25,0.016550522648083623,204.56,0
35370,20,0.047961630695443645,191.95,1
47807,122,0.15151515151515152,312.05737704918033,0
48683,21,0.6363636363636364,185.9047619047619,1
48437,184,0.07777777777777778,325.6195652173913,0
48684,22,0.5365853658536586,190.0,1
47740,81,0.08627450980392157,271.1111111111111,0
47663,23,0.07931034482758621,196.2173913043478,1
48953,190,0.11917098445595854,316.34736842105264,0
43568,24,0.1,201.875,1
47913,173,0.1218274111675127,329.4104046242775,0
35377,25,0.02177700348432056,204.56,1
48098,271,0.06188118811881188,301.44649446494464,0
48178,26,0.07926829268292683,219.6153846153846,1
48321,123,0.11206896551724138,314.3170731707317,0
35379,27,0.016917293233082706,218.33333333333334,1
49836,105,0.10266159695817491,307.2,0
47668,28,0.025067144136078783,246.35714285714286,1
49238,56,0.08695652173913043,249.96428571428572,0
43570,29,0.03877005347593583,274.2758620689655,1
48049,243,0.05942622950819672,307.89300411522635,0
49206,30,0.07556675062972293,282.9,1
47782,101,0.2803738317757009,300.7227722772277,0
48694,31,0.16666666666666666,278.258064516129,1
